Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,8.320598,2.773416,7.371679,2.735795,8.451095,2.699148,7.349594,2.907897,8.981933,2.777585,8.030421,3.007838,7.607074,3.098860,6.756791,3.136286,8.271735,3.105247,7.556303,-3.112240,6.136092,3.015932,6.908506,3.098736,8.343263,-2.989025,6.760776,-3.090246,7.722753,3.106252,6.693784,-2.995037,7.006837,-2.989159,6.765847,-2.931186,7.521441,-2.773795,7.560188,-2.955327,7.204053,-2.889849,7.583966,-2.730259,7.123282,-2.847067,7.976569,-2.676627,8.808050,-2.674660,7.515445,-2.629925,7.555965,-2.522544,8.935792,-2.452165,6.803266,-2.524806,6.460413,-2.520684,7.474797,-2.519706,7.505370,-2.694150,-21.021959
0.100000,0.000000,6.955116,2.990513,7.740001,2.932182,8.124418,-3.106832,9.045599,2.965572,7.780323,-3.092404,7.678525,-3.137591,7.045987,-3.038446,7.191066,-3.131353,9.414514,-2.977955,7.795556,2.997140,8.873787,-2.833617,7.402518,-3.054311,6.849505,-2.688859,7.603113,-3.015324,7.020333,-2.758912,8.848725,-2.711664,6.730313,-2.739753,7.945268,-2.796973,7.781573,-2.946746,6.827025,-2.748118,6.205201,-2.582888,8.383893,-2.537602,7.012727,-2.422719,7.113111,-2.608933,6.077446,-2.523159,8.249195,-2.400440,7.475710,-2.583048,9.198472,-2.381047,7.425422,-2.235638,7.319888,-2.218761,7.862524,-2.372596,8.886270,-2.498353,-20.802520
0.200000,0.000000,8.489323,2.987927,7.306174,2.979769,8.316352,-3.026113,6.980862,2.942511,7.982603,3.085196,7.765041,-3.127828,8.274601,-2.923057,7.166519,-3.075983,7.050491,-2.971428,8.258478,-3.028693,6.300653,-2.933629,9.102402,-3.053785,7.193633,-2.867522,7.794267,-3.014004,8.275764,-2.671747,7.187939,-2.830591,7.772404,-2.664883,7.519480,-2.681081,6.642227,-2.767764,6.759701,-2.730713,8.330499,-2.566741,8.536635,-2.473330,6.745600,-2.580073,6.706525,-2.626078,7.381107,-2.497502,7.749270,-2.297599,7.165960,-2.470066,8.107455,-2.458262,7.403626,-2.346199,7.802325,-2.336363,7.343013,-2.434881,7.014373,-2.262491,-21.206519
0.300000,0.000000,8.607182,2.880843,8.148144,3.089411,8.453593,3.104264,8.215235,2.897707,8.655377,3.056888,9.137187,3.080711,8.084489,-2.988016,6.863143,-3.094556,7.853688,-3.034726,8.102129,-3.010756,8.058150,-2.992914,7.166688,-2.972415,8.119448,-2.843341,8.869530,-2.843411,7.560317,-3.004749,7.925895,-2.772536,7.000909,-2.913205,7.675759,-2.687883,7.649581,-2.728581,9.024048,-2.682170,8.236470,-2.641943,7.331440,-2.588834,8.055855,-2.622017,8.541594,-2.621509,8.414117,-2.459859,7.778030,-2.552763,8.812430,-2.509039,9.142994,-2.344448,8.820798,-2.274138,7.505775,-2.331462,9.150679,-2.282324,8.397702,-2.246424,-21.775984
0.400000,0.000000,9.130137,-1.438266,8.497011,-1.580877,8.674696,-1.650526,10.063584,-1.804381,8.557367,-1.895102,8.057273,-1.824707,7.342633,-2.116583,8.884574,-1.920995,7.920810,-2.043581,7.871469,-2.358657,7.963344,-2.404947,8.616476,-2.472817,8.605122,-2.634535,8.077432,-2.762698,8.323118,-2.832745,8.842672,-2.914398,7.740509,-2.888660,8.910026,3.014696,7.381283,-3.045376,8.099983,3.022528,7.706842,2.910866,8.933735,2.885130,8.921766,2.847184,10.221665,2.639531,8.361108,2.472583,8.311529,2.546359,8.883104,2.285179,10.150377,2.318981,8.186978,2.318280,8.437660,2.195455,9.590230,1.965224,9.180105,2.044058,-22.502209
0.500000,0.000000,10.949124,2.982246,10.055753,3.042484,8.264887,3.100432,10.658999,2.871633,9.048443,3.014573,9.232629,3.123734,9.462521,-3.131701,8.627268,-3.105910,9.515907,3.129035,9.524589,-3.140523,7.745587,-3.014495,8.479339,2.992836,8.467770,3.129906,7.954441,-3.137067,9.442984,-2.818323,9.801907,-2.852524,7.445756,-2.731744,9.601661,-2.627155,9.404191,-2.847713,9.930196,-2.804509,8.144066,-2.531707,8.749982,-2.698936,7.918503,-2.544044,8.870019,-2.679318,7.553322,-2.514347,9.914984,-2.327259,9.311699,-2.475447,9.391051,-2.447897,10.476362,-2.285160,8.987494,-2.365566,11.480479,-2.511272,9.019713,-2.352187,-22.721195
0.600000,0.000000,9.186617,2.842162,10.373945,3.070614,8.695156,3.000767,8.283783,2.995660,8.889758,2.876661,8.081254,2.980384,8.286219,3.050646,8.652657,-3.132749,7.883184,-3.108620,8.092088,-3.051387,7.996242,-3.132660,7.685461,-3.048231,7.581425,-2.915998,8.374752,-3.020091,7.511928,-2.892678,7.749928,-2.673514,8.380550,-2.939907,7.607490,-2.717886,7.299220,-2.688901,9.428690,-2.800374,9.315011,-2.719990,8.399925,-2.728354,9.874952,-2.582216,10.115536,-2.608633,8.232212,-2.427917,9.167712,-2.551079,9.175721,-2.433499,8.453677,-2.461325,7.501808,-2.422557,9.169397,-2.330223,8.352422,-2.410081,8.852519,-2.188294,-22.460212
0.700000,0.000000,8.148635,2.997887,8.738547,2.977764,8.722432,3.004081,9.819293,3.036703,8.465018,-3.010863,8.227156,-3.054223,8.342522,-3.061813,7.308223,-3.002467,7.993894,-3.003239,7.805152,-2.961950,7.721509,-2.952082,9.585825,-3.001567,8.181508,-2.991650,7.459395,-2.971510,7.549217,-2.806868,7.297774,-2.863735,8.911685,-2.573546,9.298828,-2.638769,8.360598,-2.590081,8.662856,-2.548649,7.583738,-2.576356,7.687469,-2.686711,8.444095,-2.556888,7.884156,-2.530857,8.753750,-2.600659,8.676061,-2.538940,8.687790,-2.317391,7.153779,-2.407306,8.517834,-2.198587,8.641859,-2.356667,9.243577,-2.346525,8.328329,-2.352896,-22.083010
0.800000,0.000000,7.999490,2.783437,7.882364,3.042282,7.814796,2.920912,9.157764,3.028540,7.958582,-3.129694,8.651630,-3.078222,7.549112,-2.901884,7.743983,-2.946296,9.728878,-3.057880,8.377501,-2.917297,6.556234,-3.012395,9.259811,3.022740,6.821967,-2.778162,7.487403,-2.841252,8.278192,-2.603599,7.812233,-2.888561,7.558412,-2.749680,9.377158,-2.731497,6.619641,-2.658712,7.568845,-2.756514,6.055266,-2.572386,7.178749,-2.583805,8.523961,-2.464609,7.953596,-2.394076,7.715979,-2.425117,8.304627,-2.474204,7.501843,-2.181092,7.492681,-2.445828,8.905480,-2.375326,7.162640,-2.286917,8.268249,-2.538140,10.235429,-2.051577,-21.493678
0.900000,0.000000,7.653089,-1.728312,6.594269,-1.512359,6.696590,-1.615509,6.824826,-1.795249,8.096867,-1.846545,7.663859,-1.911280,7.372981,-2.164460,7.242874,-2.277289,6.756017,-2.194470,8.080978,-2.174244,6.343566,-2.340710,7.279384,-2.437058,6.330914,-2.671454,7.096150,-2.649749,7.020362,-2.692248,7.441186,-2.775619,7.111107,-2.856013,6.537383,-3.070343,7.345321,3.086443,6.352274,2.950927,7.708742,3.029733,7.589680,2.918038,7.805922,2.836969,6.261335,2.792424,6.954380,2.614559,8.358290,2.418174,7.127385,2.581624,7.042722,2.571432,5.812822,2.294600,7.429133,2.053708,8.075493,2.066789,7.154296,2.107281,-20.816898
