Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,11.344905,2.304996,8.012712,2.371749,8.104150,2.399533,9.297244,2.335343,9.810508,2.603203,8.295347,2.455700,8.594504,2.570471,8.245269,2.692168,7.671569,2.781382,9.085472,2.735206,8.190714,2.638037,7.733635,2.860732,9.225849,2.793216,9.351725,2.835318,7.774294,2.833901,9.453371,2.920855,10.365311,-3.115747,8.621933,2.847288,8.611185,3.051310,8.480463,2.960365,7.729089,-3.083511,9.385429,3.082922,10.434687,-3.102231,8.798676,3.125948,8.737546,3.122526,10.293414,-2.958742,9.446100,-3.074690,10.766558,-3.019666,8.314029,-2.973179,10.432642,3.121837,9.883878,-2.861951,9.563803,-2.796305,-22.721398
0.100000,0.000000,9.819871,2.582133,11.374353,2.502201,10.657721,2.772452,9.441567,2.642534,10.031183,2.859528,9.494963,2.749597,11.397368,2.723249,10.641862,2.829560,11.766671,2.893343,9.938902,2.810797,9.808946,2.824394,10.475030,2.898468,8.874781,2.880827,7.802360,3.009261,10.413472,2.870268,9.102437,3.046316,10.569549,-3.135912,9.307351,-3.094310,12.229801,-3.098354,9.416348,3.107966,9.069184,3.140133,10.581262,-3.088838,9.279260,-2.999468,10.789452,-2.964870,8.569871,-2.963793,9.078123,-2.961456,10.608720,-2.899017,11.163356,-2.877776,10.637743,-2.780043,10.024831,-2.631291,9.863400,-2.648597,10.898897,-2.803187,-23.644634
0.200000,0.000000,10.068988,2.992012,9.759847,2.949758,9.667077,3.010028,10.914975,3.071097,9.762683,3.053601,8.880266,3.067800,10.586380,-2.986674,9.061557,-3.052055,11.742540,-2.937961,9.594450,3.097094,8.535768,-2.841747,9.068271,3.117909,12.259547,-2.958872,9.215915,-2.760857,9.210308,-2.800876,11.921066,-2.865156,10.874588,-2.754286,9.822534,-2.749816,10.766599,-3.085828,9.547999,-2.702823,8.501070,-2.594859,12.195958,-2.642290,8.953386,-2.470552,8.705368,-2.598155,10.539030,-2.409886,9.423917,-2.414552,9.825947,-2.364099,10.051410,-2.589937,10.795601,-2.324276,10.269268,-2.428538,9.046259,-2.459668,11.583511,-2.444370,-23.181689
0.300000,0.000000,9.326584,3.009906,8.484314,-3.119973,9.007736,2.985791,8.016558,3.101378,8.465146,-2.954480,8.847569,-3.065796,8.393476,-2.839614,8.135142,3.105447,8.991370,-2.900378,7.852096,-3.022488,9.453923,-2.968327,8.512013,-3.004219,8.814505,-2.878912,7.852362,-2.776057,9.527020,-2.973454,7.610156,-2.739445,8.942101,-2.938104,7.788949,-2.629263,8.019913,-2.627692,7.748157,-2.679483,6.979270,-2.518260,8.492593,-2.573107,8.879765,-2.638544,7.589556,-2.552280,8.272472,-2.339844,8.944558,-2.484261,10.208020,-2.451841,8.464509,-2.368984,9.557125,-2.351476,7.983173,-2.319522,9.403600,-2.324298,7.998902,-2.237325,-22.061187
0.400000,0.000000,7.992464,2.941711,7.783892,2.983632,7.309601,3.114222,7.511967,3.006811,7.938896,-3.048036,6.723139,3.059569,9.122300,3.029171,8.563310,-3.122226,7.569214,-3.093636,7.660534,-2.916116,7.939089,-2.969427,10.005491,-3.076557,7.889990,-2.856594,7.750058,-2.745746,7.073549,-2.705105,9.698484,-2.898868,6.711258,-2.831875,8.009282,-2.885298,8.696598,-2.721001,8.090882,-2.668792,6.802217,-2.667946,7.505848,-2.660078,8.706732,-2.640510,7.698000,-2.746390,8.615981,-2.486597,8.970853,-2.430563,8.333862,-2.344084,8.366386,-2.506772,9.507407,-2.353804,9.197396,-2.360317,7.838228,-2.408194,8.294430,-2.224670,-21.820605
0.500000,0.000000,8.603101,2.926734,7.566691,2.798301,7.582937,3.006622,9.803199,2.848440,9.509131,2.963504,8.086155,2.819691,7.168369,3.016934,8.491332,2.996903,7.246475,-3.118132,8.219244,2.865691,8.505385,3.126727,8.954353,2.952741,8.193202,-3.136299,7.478241,3.131346,8.880041,-2.946106,9.228675,-2.889043,7.233573,-2.924085,9.244423,-2.968205,8.237847,-2.947391,7.824672,-2.836257,8.000001,-2.731814,8.189662,-2.630158,8.042473,-2.726776,7.931805,-2.646164,8.169179,-2.625176,8.143065,-2.634168,10.459562,-2.745525,7.372880,-2.608440,7.668250,-2.429703,8.257679,-2.490836,9.871328,-2.631299,10.203020,-2.485424,-21.730910
0.601000,0.000000,8.661831,2.638259,7.784441,2.717158,7.263611,2.918336,8.694839,2.802125,8.449169,2.631622,8.817430,2.860510,6.815602,3.037232,7.646880,2.950466,9.628995,2.932605,9.745921,2.791908,8.130589,3.053090,9.015082,2.896151,8.285967,3.028283,8.673171,2.982482,8.233413,2.968470,9.795073,3.091902,10.261927,3.105959,8.301885,-3.081258,7.459960,-3.105191,7.432217,-3.005247,7.739552,-2.959423,8.797374,-2.957282,6.209212,-2.692724,7.293518,-2.962512,7.138712,-2.735662,7.579895,-2.657778,7.666399,-2.617271,7.887410,-2.756354,8.664731,-2.742879,8.466831,-2.724175,8.958151,-2.684172,7.095329,-2.627566,-21.702243
0.701000,0.000000,8.291336,2.623643,8.594506,2.741878,8.699197,2.550108,8.734720,2.538720,8.226613,2.792382,8.148338,2.684206,8.223381,2.676053,6.681579,2.847801,7.989433,2.925961,7.634277,2.837940,9.190083,2.896772,6.598057,2.791960,7.403391,3.011374,7.671865,-3.130558,7.565566,3.089000,8.763525,3.032263,7.415251,3.017428,7.701116,-3.012627,6.224287,-3.117816,7.836843,-3.127467,7.498545,-3.134795,7.563163,-3.063368,7.634677,-2.848518,8.616021,-3.082840,8.526102,-2.948698,7.515171,-3.000016,8.311536,-2.633203,8.015672,-2.727754,8.097465,-2.739761,8.451112,-2.705641,9.815107,-2.703147,7.645246,-2.719768,-21.824537
0.802000,0.000000,8.363414,2.482605,8.011640,2.573718,8.499052,2.646200,8.288857,2.434576,8.790390,2.562255,7.486429,2.407951,8.442043,2.886259,7.679847,2.721110,9.061022,2.882353,9.565697,2.875664,8.108593,2.807872,7.527058,2.858114,8.319469,2.979329,8.380694,3.049535,7.174286,-3.139693,7.891457,2.942473,7.058166,2.936208,7.105301,3.078308,6.750535,3.085107,8.657069,3.056339,8.308008,-3.132799,8.487153,-2.968662,9.142408,-3.090878,7.679898,-3.023035,9.815076,-2.869187,8.966200,-2.898347,9.466236,-2.923914,8.331730,-2.870014,8.519498,-2.851434,8.504666,-2.860451,9.480877,-2.774141,8.102621,-2.620154,-21.820599
0.902000,0.000000,8.804705,2.350576,7.972783,2.563573,7.967532,2.633007,7.753021,2.752297,7.730535,2.559038,8.561388,2.791980,9.200122,2.781066,7.715093,2.658276,8.635630,2.810530,8.451330,2.851711,8.010530,2.815135,8.283262,-3.124122,7.816937,2.862745,7.212553,3.000666,9.450406,2.924543,7.954817,3.010182,7.055028,3.096366,7.718358,3.139427,8.277863,-3.034835,8.621065,-3.002096,7.410132,-3.044748,8.920434,-2.940518,8.623496,-3.078037,9.843551,3.040490,8.473236,-2.973824,8.687687,-2.790224,8.583278,-2.743976,7.912209,-2.817615,8.473315,-2.819706,7.134898,-2.659116,9.705293,-2.692501,8.691298,-2.701993,-21.906915
