Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,9.524807,3.076522,8.870320,3.066330,9.862489,-3.097831,9.275461,3.100653,9.437005,-3.054606,9.153535,-3.046179,7.923523,-2.935801,8.645240,-2.965796,9.361323,-2.884949,9.734481,-3.044486,8.187876,-3.008443,8.914276,-2.897408,8.464601,-2.844411,9.137587,-2.899133,9.453072,-2.725167,8.953589,-2.736651,9.741059,-2.750548,8.943878,-2.753865,9.213097,-2.657049,8.096693,-2.519306,9.425621,-2.498794,9.098966,-2.526337,9.842502,-2.476177,10.263957,-2.503546,9.153988,-2.437391,8.241544,-2.368681,9.326089,-2.378979,8.553384,-2.335506,9.573704,-2.313759,9.288874,-2.312793,9.094961,-2.333617,10.094919,-2.135693,-22.660663
0.100000,0.000000,9.050103,-1.456360,8.841830,-1.408150,9.997087,-1.669843,7.868637,-1.772032,10.497880,-1.934036,9.239915,-1.962742,8.917614,-1.886174,7.496582,-2.115685,10.350441,-2.271269,9.617188,-2.178668,7.162049,-2.450632,8.615914,-2.564971,8.503255,-2.486104,9.162560,-2.729731,9.640760,-2.789888,8.230869,-2.776731,8.974886,-2.968264,9.226149,-3.133347,7.736836,-3.078291,7.882646,3.008877,7.652747,2.951318,8.564574,2.781703,9.321551,2.933341,9.351862,2.908629,8.993791,2.704181,9.130707,2.520913,10.031766,2.547788,9.633903,2.439495,9.438994,2.164632,9.282107,2.105338,10.007627,1.954487,10.015888,2.150165,-22.551495
0.201000,0.000000,10.160448,2.939377,8.460956,3.085118,9.793223,3.027056,9.013341,3.010319,9.353554,2.955980,10.355606,2.887884,8.897645,-3.100680,7.817167,3.124071,8.928748,-3.095853,9.252651,2.985178,7.412919,-3.060491,8.437727,-3.033593,8.018133,-2.813610,8.535238,3.140953,7.569744,-2.851381,7.901867,-2.814661,7.295151,-2.829792,7.642318,-2.688120,8.225149,-2.898597,8.268061,-2.663656,8.551232,-2.640601,8.490416,-2.539552,8.652315,-2.751015,8.963865,-2.570735,8.660576,-2.634526,9.027214,-2.559266,9.042801,-2.337542,9.068685,-2.508425,9.858942,-2.486697,8.969145,-2.400247,10.124525,-2.302712,7.936198,-2.308698,-22.383910
0.301000,0.000000,7.809781,2.921734,8.042060,3.061585,9.416337,-3.127580,8.562099,3.113320,9.893020,-3.077804,8.282532,-3.059255,9.109334,3.062277,8.820915,-3.111048,8.502639,-2.969477,8.326846,-2.995160,8.834106,-3.122522,8.900606,-3.040215,6.960026,-3.000459,8.045798,-2.828488,8.802171,-2.859363,8.952892,-2.925643,7.039779,-2.697584,8.564807,-2.838216,7.625164,-2.751404,8.427671,-2.521829,10.073955,-2.717426,9.020083,-2.513091,9.703853,-2.586049,8.708655,-2.464080,8.663491,-2.450013,8.312910,-2.582537,9.639815,-2.371913,8.315824,-2.329031,9.956488,-2.310475,9.666528,-2.412414,9.101230,-2.529115,8.654279,-2.340621,-22.479918
0.402000,0.000000,9.196594,3.041211,10.053230,3.131763,8.809383,-3.020710,9.838607,2.992663,9.727107,-3.101959,8.255592,-3.043671,8.776858,-3.058915,8.094581,-3.010843,8.945374,-2.920807,8.548775,-2.791671,9.125508,-2.837208,9.341514,-2.875530,8.301239,-2.825096,8.057545,-2.923485,9.575779,-2.691391,7.952160,-2.902959,8.657410,-2.626580,8.868352,-2.750953,8.276292,-2.569981,8.403765,-2.633701,9.030229,-2.480855,9.511547,-2.422017,8.975647,-2.457375,10.314918,-2.447516,8.677039,-2.401423,9.293655,-2.409557,9.620609,-2.191349,7.669396,-2.434560,10.477372,-2.266586,8.433071,-2.411050,10.696635,-2.216491,9.594072,-2.154791,-22.861386
0.503000,0.000000,9.518581,3.045498,9.168027,3.122524,9.657666,3.050520,9.690262,3.078060,9.394648,-3.076805,8.528525,3.098104,9.579389,-2.997759,10.043855,-2.894821,9.693715,-3.070893,9.306911,-2.923697,7.928647,-2.923017,8.686526,-2.818433,8.227675,-2.816951,9.435276,-3.139379,8.483239,-2.804404,7.866088,-2.817368,9.719569,-2.830325,8.670213,-2.568751,9.387692,-2.512586,10.343224,-2.623850,8.887394,-2.705634,9.242643,-2.666533,10.242321,-2.530198,9.481771,-2.638265,9.863196,-2.414080,8.216435,-2.451957,10.060847,-2.203011,10.240364,-2.259572,10.026701,-2.315023,9.024314,-2.487332,10.036398,-2.297089,10.997424,-2.370832,-23.409386
0.603000,0.000000,9.514416,2.713700,11.677278,2.705460,9.767711,2.628307,10.493615,2.668031,9.923694,2.739354,12.566628,2.989350,9.861651,2.860926,9.343381,2.874456,9.591448,2.949961,8.450454,2.913100,9.972645,2.682175,9.094796,3.005798,8.819117,3.060159,8.851873,2.910492,8.533860,3.075755,8.920569,3.055578,8.905875,-2.968239,9.625990,-3.107842,9.882410,-3.059549,10.082437,-2.894592,9.367449,-3.030254,8.739629,-3.009188,9.711903,-2.941328,10.861471,-2.872360,9.971987,-2.892916,9.688539,-2.749160,10.881161,-2.729684,9.817225,-2.611929,9.872446,-2.534719,9.496099,-2.701649,10.967338,-2.601336,10.470750,-2.690766,-23.386534
0.703000,0.000000,8.906066,2.578661,9.388407,2.635438,8.723428,2.418886,8.737705,2.514390,10.337760,2.702331,8.124751,2.521269,7.484577,2.759984,7.247659,2.718057,9.052300,2.695375,8.592148,2.689319,8.617556,2.607552,8.762341,2.741233,8.890547,2.871428,8.117778,3.010718,8.785656,-3.078684,10.658890,2.921366,7.722688,3.138172,9.693744,-3.124976,9.876855,2.960630,7.616052,-3.126014,7.470753,3.120404,8.907950,-2.999155,8.593571,-2.945776,9.151514,-3.125921,7.463690,-2.989473,8.748997,-2.842575,9.161673,-2.985640,8.425776,-3.012324,9.572337,-2.877134,7.921208,-2.781742,8.019880,-2.932372,10.311554,-2.860138,-22.225190
0.803000,0.000000,9.754886,-1.700483,7.414801,-1.638858,9.166744,-1.913387,7.445618,-1.938684,9.099244,-1.878458,8.745961,-2.090628,9.263467,-2.137255,8.196986,-2.278725,8.750383,-2.252018,8.853392,-2.199432,7.184160,-2.492201,7.168053,-2.498593,10.205517,-2.760511,9.188657,-2.748944,7.171022,-2.834612,8.889534,-2.872479,9.334112,-3.071273,9.471640,-3.036948,7.419600,2.980294,8.196433,2.885620,8.549311,3.023804,8.366249,2.721630,8.767496,2.616073,7.939597,2.718015,7.691443,2.429898,8.514828,2.446582,8.416917,2.352988,10.252880,2.283710,7.432318,2.052984,8.976082,1.985387,9.586675,1.986698,9.924735,2.029093,-22.144868
0.904000,0.000000,10.621388,3.063490,10.327652,3.048156,9.973424,2.974037,10.993590,3.033466,10.339738,3.067705,8.764520,-3.088223,10.138271,3.081193,10.250067,-3.075693,8.965709,-3.025423,10.510937,3.137378,10.410660,-3.085631,10.534379,-2.987638,9.876382,-2.918102,10.178619,-3.125291,9.297032,-2.956646,9.986710,-2.930616,8.771724,-2.766316,10.386227,-2.747871,10.926636,-2.760326,10.486665,-2.661436,10.397998,-2.559807,10.004295,-2.791919,9.532212,-2.740577,10.879662,-2.674410,8.918197,-2.495896,10.810433,-2.568974,11.076186,-2.366292,10.958826,-2.342842,10.254559,-2.311900,9.537031,-2.312615,10.515301,-2.385274,10.660967,-2.324404,-23.697260
