Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
1.003000,0.000000,8.646909,2.644310,7.667493,2.964886,9.911365,2.868856,7.672069,2.940118,7.721292,3.051462,6.987709,3.093445,8.095591,3.068488,7.747745,3.008919,7.429467,-3.140094,8.190181,-2.883738,7.350849,-3.110252,7.210609,-3.043731,8.982755,-2.846554,8.351082,-2.994478,8.764111,-2.888610,8.631787,-2.888309,7.442844,-2.910888,7.333452,-2.878964,6.901949,-2.893388,8.407183,-2.803026,8.282431,-2.719031,8.064214,-2.537460,8.909356,-2.543477,7.839166,-2.678720,8.130486,-2.557628,8.063574,-2.629889,7.972805,-2.619095,8.072713,-2.604694,7.670878,-2.517219,8.207687,-2.457372,7.679950,-2.372820,8.171627,-2.353989,-21.802862
1.103000,0.000000,8.802436,2.820594,9.043728,2.873669,8.381866,3.045946,8.708311,2.890661,7.880182,3.068384,8.377469,3.100739,7.513996,-3.122006,7.171201,-3.113202,6.832521,3.085340,7.219851,-3.028715,7.437835,-3.109197,8.581895,-2.988996,7.518274,-2.865967,6.409716,-3.024722,8.655721,-2.808271,7.348327,-2.922733,8.041321,-2.899575,7.639126,-2.766760,7.098490,-2.876539,7.076451,-2.770802,8.166788,-2.744434,7.189772,-2.656472,7.458064,-2.741179,7.842493,-2.691438,8.764999,-2.599952,8.044981,-2.691203,9.277869,-2.682831,7.977103,-2.663767,8.935072,-2.357264,7.903448,-2.572001,9.795881,-2.510888,8.516971,-2.465346,-21.787168
1.203000,0.000000,8.840806,2.772626,7.383307,2.813003,8.315110,2.819211,8.975549,2.811024,9.140612,2.905187,8.867038,3.017189,8.585667,3.077705,8.109917,2.922644,10.336311,2.950912,9.740986,3.040177,8.381509,-3.115074,8.023416,3.136883,9.961755,-3.117003,7.986862,3.070932,7.992737,-3.012365,7.510398,-3.083682,8.186738,-3.033068,8.395982,-2.969143,9.396021,-3.056132,8.984834,-2.835485,7.901700,-3.003686,7.868551,-2.918645,7.765097,-2.773172,7.307607,-2.747063,6.949172,-2.736226,8.255557,-2.711595,7.675572,-2.590880,8.541675,-2.512496,7.473864,-2.548990,8.786558,-2.634290,8.167400,-2.682999,8.452150,-2.643773,-21.946750
1.303000,0.000000,9.797107,2.503290,9.701257,2.696694,10.161181,2.716991,10.542118,2.766321,9.141380,2.603112,12.576557,2.546590,9.912481,2.845295,8.660286,2.712605,10.877748,2.883184,10.147221,2.773606,8.330069,2.847105,9.013059,3.044420,10.070013,3.019129,10.095589,2.944404,9.959382,3.099825,11.584349,3.082237,10.267269,-3.056089,10.460294,3.137851,9.874133,3.090516,11.657780,3.128718,8.551761,-2.884168,9.560248,-2.848072,9.751647,-2.998718,9.958392,-2.839210,9.595623,-2.866654,10.252647,-2.690180,8.377230,-2.839008,10.297766,-2.810519,10.481647,-2.774148,9.206437,-2.686358,9.440861,-2.656302,12.625005,-2.677805,-23.639808
1.403000,0.000000,15.355416,2.441021,13.475372,2.579312,12.933116,2.439499,11.876528,2.588276,15.240287,2.675464,12.950530,2.566605,11.866248,2.650619,11.807428,2.648301,12.695744,2.877430,12.011973,2.834894,11.456219,2.880471,11.480209,2.936409,12.332928,2.953598,13.764839,2.823648,13.654088,2.816849,12.659156,2.947421,11.313270,3.089029,12.767877,-3.133503,13.373176,-3.138681,12.983674,3.107943,12.509509,-2.989744,13.926232,-3.025955,13.373619,-3.004629,12.942254,-2.960948,14.717890,-2.921859,12.277215,-3.068030,20.147486,-2.884387,14.359404,-2.962007,13.337743,-2.804358,18.060664,-2.931401,15.343647,-2.837145,14.355391,-2.851561,-26.243739
1.504000,0.000000,12.301356,-1.458740,10.669858,-1.494274,10.445842,-1.749924,11.626809,-1.786819,11.788581,-2.032753,12.260453,-1.931990,9.799816,-2.064651,10.383032,-2.147114,13.527126,-2.287266,10.965756,-2.371425,11.147336,-2.458473,10.952787,-2.507816,10.912233,-2.629824,11.948638,-2.768798,10.784280,-2.918120,10.592104,-2.992465,9.325380,-3.035807,11.042688,3.138517,10.915758,3.108547,9.493166,2.991376,10.289983,2.981804,12.285747,2.688957,10.925618,2.734161,11.321894,2.474599,10.038463,2.449994,12.270023,2.354992,12.132531,2.250733,11.382952,2.319871,10.592171,2.247838,12.578597,2.162073,11.103993,1.980376,11.908650,2.015863,-24.588042
1.604000,0.000000,9.531059,2.982980,7.938038,2.942957,6.701675,2.944963,9.487581,2.805395,7.756286,2.976678,8.795848,2.950505,8.652741,3.134365,7.195949,3.099743,8.917207,3.136115,6.948292,-3.123023,6.897410,-2.977127,8.706782,-3.113546,7.229127,-3.121183,6.760911,-2.915938,8.096487,-2.919452,8.259581,-2.946377,7.098586,-2.913370,8.760299,-2.676547,8.464526,-3.042247,7.170806,-2.837656,7.790373,-2.694199,9.154684,-2.800877,6.973425,-2.481556,7.524948,-2.716929,7.139400,-2.417371,7.058402,-2.484665,8.436400,-2.324770,7.907464,-2.537491,9.117559,-2.438237,7.915985,-2.409765,8.482270,-2.436173,10.673063,-2.228875,-21.665138
1.704000,0.000000,10.295677,2.509201,12.939226,2.551360,12.494754,2.756583,12.071147,2.563207,11.937517,2.613469,9.878390,2.656403,9.209245,2.718474,10.792943,2.769023,9.664215,2.864708,10.692415,2.880882,10.246602,2.792876,10.496568,2.941596,11.018786,2.880166,10.528594,3.063565,9.378539,3.055287,9.587591,-3.108392,10.369767,2.995387,9.351288,3.132990,9.842663,-3.134455,9.608638,-3.089568,12.114469,-3.061965,10.482615,-3.040547,10.165151,-2.988612,9.980875,-3.030107,11.854104,-2.761041,11.149422,-2.871424,9.981547,-2.616953,12.862896,-2.818016,10.085203,-2.715677,11.060930,-2.939538,10.617788,-2.609820,10.520282,-2.606999,-24.337856
1.804000,0.000000,9.981446,2.909440,12.406044,2.818343,11.913703,3.031931,10.354724,2.978975,11.111268,3.039736,10.287776,-3.102670,11.791393,3.097202,9.369646,-3.087305,9.951396,-2.992298,10.423811,-3.012397,11.283191,-2.981874,9.634081,-3.108143,9.540678,-2.976581,9.112992,-3.049110,11.182926,-2.864574,9.143264,-2.974984,9.631620,-2.829467,10.188879,-2.746031,10.637225,-2.605950,10.611480,-2.748972,9.594677,-2.477597,9.895161,-2.699580,10.129456,-2.625754,10.873196,-2.643245,9.740156,-2.706789,11.946411,-2.619152,11.499457,-2.474311,12.116518,-2.569139,9.683126,-2.320245,10.827035,-2.499847,10.617430,-2.362030,11.602218,-2.412211,-24.102018
1.904000,0.000000,8.057576,2.894922,8.082938,2.862258,7.488196,2.857548,7.916815,2.948214,9.180931,2.994780,8.592863,3.003081,7.674558,-3.072105,6.815187,3.063752,7.743062,2.939573,7.498090,3.117469,7.730608,3.002437,8.327992,3.104710,8.474362,-2.974513,8.381847,-2.902149,8.786105,-2.694291,7.487719,-2.986051,9.065518,-2.840390,8.909421,-2.888884,7.242985,-2.944456,9.178166,-2.721864,7.393138,-2.736870,10.465204,-2.634134,8.122762,-2.716657,7.823161,-2.635878,7.140161,-2.542728,8.203244,-2.541159,9.129969,-2.644706,9.125963,-2.498318,9.517063,-2.540047,6.939604,-2.323621,7.081018,-2.435429,9.693051,-2.554335,-21.631777
