Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,11.181424,-1.878129,9.920899,-2.172421,10.035483,-2.340261,10.892374,-2.520091,12.463960,-2.742803,8.160725,-2.443836,11.596580,-2.785662,9.150989,-2.697602,10.315777,-2.601630,9.827671,-2.954066,9.815993,-2.804911,10.163692,-3.063115,7.551855,-3.053871,9.066456,2.914007,10.295963,3.117416,7.698505,2.903052,9.273135,2.840955,9.436617,2.840111,10.831697,2.598273,10.193657,2.547907,8.811752,2.324491,10.728435,2.427089,9.046358,2.349065,8.940338,1.991368,11.277841,2.004651,9.298833,2.009962,9.732933,1.950880,8.407627,1.799635,9.876082,1.693781,8.880422,1.540804,9.194075,1.645533,11.020259,1.498665,-23.323265
0.100000,0.000000,11.095948,2.532463,12.582422,2.400571,9.258801,2.339024,10.205742,2.367622,10.166940,2.500525,11.737195,2.444598,11.804885,2.609387,8.734452,2.561791,9.760677,2.628052,11.565714,2.302566,10.730327,2.683122,11.150520,2.466646,11.646362,2.905416,9.959608,2.613722,9.835425,2.859575,11.155031,2.662445,10.473640,2.783749,9.851146,2.781367,9.808955,2.729305,9.491262,2.920281,9.542506,3.066933,9.417758,3.078719,11.796208,-3.077482,9.776745,3.047391,8.341247,3.131207,9.935947,3.141541,12.475801,-3.093829,13.348200,-3.061277,9.083860,-3.064111,9.777112,-3.026918,10.040829,3.079611,11.663705,3.111529,-23.887021
0.200000,0.000000,10.314609,2.153316,10.583170,2.355069,11.656075,2.257789,7.753163,2.374674,11.075533,2.421084,9.989678,2.316197,13.031750,2.492922,9.329954,2.573077,11.550524,2.600450,9.319746,2.764753,10.432848,2.490504,11.513312,2.811313,12.670826,2.931763,11.283396,2.911996,8.451930,2.839548,10.047561,3.020585,10.097813,2.688557,9.106020,2.737644,8.192505,2.939220,12.024716,-3.077948,10.543303,2.913144,11.493976,3.025164,13.146103,2.758186,10.247818,2.961964,10.702045,-3.119913,12.019808,2.858163,9.452735,-3.082042,12.419354,-3.023358,11.308188,3.038825,9.481614,-3.025666,10.607999,-2.932390,13.057698,-2.721966,-24.145470
0.300000,0.000000,9.335094,2.097231,8.913190,2.275280,10.648800,2.476763,9.021985,2.345442,10.137286,2.426210,9.645013,2.540942,10.981040,2.639475,9.198447,2.538586,9.414204,2.533076,10.562083,2.644558,9.514192,2.625450,9.829708,2.605469,10.180513,2.626880,9.282126,2.795719,9.060421,2.810640,12.928468,2.853797,10.280515,2.932367,8.237584,2.887638,9.783438,2.952065,10.812167,2.801118,8.529972,2.957684,12.170347,2.901981,9.548594,-3.083286,10.482800,3.083423,9.286654,3.115828,9.034205,3.102773,9.341422,-3.011995,10.054814,-3.132678,9.942885,3.074248,9.797785,-3.029904,8.533054,-3.058072,9.905020,-2.879220,-23.420894
0.400000,0.000000,9.906508,2.436439,8.727223,2.374246,11.665528,2.582817,9.239368,2.406601,10.570386,2.658857,10.561909,2.447541,8.905631,2.616340,10.407502,2.654937,13.496179,2.775220,9.576634,2.696863,9.581733,2.888104,9.523152,2.521015,9.697277,2.633113,11.589479,2.769085,10.294875,2.928755,11.301983,2.843624,9.579536,2.813901,9.541885,2.842300,12.592061,2.903109,9.231938,2.946572,9.141771,-3.063262,11.580849,3.109831,8.589338,3.138680,8.546595,3.141590,9.164287,-3.093716,8.697583,3.124355,9.155577,3.058437,10.473678,-2.983790,9.224191,-3.005866,8.439037,-2.742538,9.725042,-3.067660,10.653496,-2.917890,-23.046281
0.501000,0.000000,9.946797,-1.936234,8.579010,-2.044190,8.996010,-2.257453,7.066328,-2.180877,8.424252,-2.291913,8.358542,-2.650826,8.049425,-2.459300,9.981990,-2.636238,11.719345,-2.710446,9.914465,-2.591840,6.984211,-2.772297,8.095730,-3.009593,10.488139,-2.766101,9.252211,-3.032755,8.834683,3.019564,8.642234,2.785730,10.389840,2.888177,9.515233,2.820218,8.812556,2.569517,7.163963,2.508866,9.425202,2.534734,9.250245,2.508272,9.144191,2.254112,9.049495,2.328229,7.783994,2.110418,8.906471,2.015689,8.132302,2.025976,9.584517,2.023610,9.015707,1.713111,7.650651,1.790895,9.437882,1.586214,7.857027,1.441894,-22.226568
0.601000,0.000000,8.453299,2.487175,9.112697,2.472250,8.961165,2.598766,8.421927,2.610187,7.744775,2.687453,8.641573,2.620576,8.847426,2.867044,8.821808,2.809861,10.242208,2.849125,8.555461,2.873205,9.008249,2.760308,8.597721,3.038831,8.534727,2.903534,8.474861,2.693848,7.992134,2.931507,8.635207,3.047826,8.318594,2.860368,7.957565,-3.114248,8.281395,3.032562,9.747043,-3.069441,8.320322,-3.012090,7.520285,-3.063192,8.465934,-3.072173,8.890917,-3.001264,10.351243,-2.750381,10.382144,-2.876777,10.008810,-2.907735,8.685836,-2.848157,9.168212,-2.753163,8.607716,-2.893419,9.337085,-2.699195,8.905166,-2.638148,-22.617783
0.701000,0.000000,11.409772,2.618253,11.391513,2.631788,10.760028,2.707517,12.768709,2.690891,13.059316,2.938261,11.804861,2.788251,10.283683,2.785085,10.076871,2.961244,12.984120,2.919947,11.090419,2.878394,10.874892,2.892672,11.523528,2.830489,12.077897,-2.999631,12.143068,3.057570,11.092612,3.017411,11.936577,-3.138429,11.572784,3.140283,9.795625,-3.052668,10.067243,-2.981742,10.447735,-3.130837,11.393259,-2.963778,10.952785,-3.020986,9.863507,-2.816202,14.309369,-2.907760,9.249000,-2.776900,10.811168,-2.799889,10.749460,-2.781664,11.803805,-2.846818,12.690969,-2.609674,10.069187,-2.790778,12.359981,-2.670146,12.784700,-2.671039,-24.729046
0.801000,0.000000,21.780726,2.552673,23.054203,2.763715,20.440790,2.743312,22.040246,2.876873,19.579947,2.602397,22.392814,2.623649,17.628325,2.947938,20.537396,2.876872,22.185784,2.602958,20.612253,2.422170,17.130749,2.991189,20.899254,2.821486,21.748683,3.024272,17.503140,2.995886,17.634205,3.024499,18.672637,-3.116456,15.092760,3.084006,22.152430,-3.133940,17.265821,-3.057597,19.915918,3.019587,18.489496,-2.992333,23.395747,3.005630,17.526195,-2.716204,18.532200,-2.924310,16.171641,-2.772608,18.589792,-2.706798,17.429003,-2.616777,17.990215,-2.650041,20.599865,-2.788160,17.528955,-2.638403,22.279484,-2.748586,22.783552,-2.640906,-29.207349
0.901000,0.000000,33.094663,2.266761,31.535822,2.416488,27.876506,2.246685,30.643998,2.248479,27.129627,2.167411,23.259129,2.387525,24.110768,2.476790,24.438861,2.446697,24.728725,2.542511,28.660778,2.469942,31.012900,2.309903,23.410771,2.496681,22.335914,2.742663,23.786941,2.749275,21.281543,2.750766,22.962502,2.889017,21.989004,2.836829,28.828002,2.745571,20.716159,2.823053,27.462963,2.808909,25.495869,2.872682,27.294201,2.822551,26.501112,2.877805,28.064784,2.980406,24.653372,3.068932,21.874449,3.051607,30.183847,-3.107869,22.640643,-3.041400,24.203643,-2.964621,26.713539,3.126216,28.116997,-3.068721,26.970160,-2.892780,-31.681148
