Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,11.728889,2.238701,11.600764,2.145543,10.647294,2.051895,11.292070,1.859412,9.563119,1.778067,11.381922,1.597598,10.793645,1.747120,9.452622,1.446135,10.490661,1.353776,10.830339,1.230836,9.666676,1.219677,12.121643,1.069266,11.339495,1.229117,11.485511,0.985377,13.732211,0.962355,11.163835,0.745364,9.346903,0.817596,12.076147,0.272682,11.067903,0.388100,11.186550,0.461415,10.725499,0.509187,13.888293,0.311656,12.343870,0.390177,11.583011,0.092624,12.463573,0.154888,11.114690,0.147010,10.478684,-0.182839,11.757693,-0.263709,11.723716,-0.311801,11.029524,-0.403253,10.508478,-0.592373,11.834058,-0.588606,-24.273962
0.100000,0.000000,9.805890,-0.022713,7.986499,0.255657,9.381470,0.112019,6.506696,0.253991,7.984305,0.283574,7.665267,0.301679,8.371375,0.252588,6.979767,0.498388,8.299837,0.444952,7.177076,0.531968,7.746962,0.318172,8.473231,0.773957,9.804734,0.494789,7.784371,0.604864,7.507742,0.437690,7.650162,0.844915,7.279369,0.649569,7.741698,0.815831,7.270517,0.783781,6.940995,0.824501,7.485876,0.806422,7.635173,0.849358,8.396135,0.887961,7.849361,0.918027,7.517237,1.055341,8.680280,0.792128,7.281933,1.114156,9.205550,1.027471,7.420340,1.128797,7.660463,1.150544,8.999768,1.206677,8.716774,1.368306,-21.713783
0.200000,0.000000,7.249912,0.186916,6.360161,0.085836,6.568739,0.385025,5.773740,0.391348,7.163657,0.333076,6.717072,0.323992,6.950279,0.402300,6.993083,0.483794,6.850191,0.465425,7.501323,0.406041,6.643480,0.547942,6.640218,0.384610,6.870668,0.664899,5.617708,0.649971,6.394247,0.462963,5.802411,0.654746,7.649837,0.812646,5.833265,0.821711,7.058319,0.855630,6.578655,0.750642,6.256256,1.002483,6.434385,0.945157,6.212467,0.891069,6.467253,0.950547,6.141512,0.908932,6.678581,1.144755,6.575519,1.121043,6.004629,1.085646,6.251291,1.193894,6.558285,1.253619,6.200030,1.203977,8.991126,1.182123,-19.937302
0.300000,0.000000,8.315739,0.396199,7.810196,0.471120,8.172161,0.269156,9.861346,0.345168,8.501122,0.644411,8.381124,0.663958,8.453527,0.710657,7.107402,0.624391,9.925974,0.745866,9.024252,0.670946,7.458717,0.892580,7.480085,0.599438,8.850478,0.780162,9.432106,0.937755,10.512520,0.849598,10.630837,0.928110,7.746506,0.880419,8.036265,0.840658,9.412541,0.819653,9.239613,0.856805,7.977156,1.082731,8.752175,1.099443,7.356654,1.159160,8.354130,1.334526,7.910519,1.176800,8.528581,1.168853,8.493368,1.313353,9.245290,1.401972,10.172362,1.343874,7.877022,1.458480,8.379559,1.246691,9.074630,1.549433,-21.753834
0.401000,0.000000,11.124280,2.338589,9.666385,2.373481,10.586330,2.152184,11.224255,2.143651,11.025578,2.157137,9.807258,1.975643,11.654577,1.847513,11.363812,1.744292,10.900841,1.634135,12.103012,1.693805,10.450277,1.417793,10.883613,1.499660,9.047140,1.287329,11.688853,1.295122,8.553253,1.303398,14.108890,1.241720,11.188209,0.901924,11.434015,0.840485,9.623376,0.810859,8.407980,0.822321,11.090792,0.709258,11.282842,0.608832,9.732053,0.267940,10.969220,0.279555,12.603440,0.161208,10.296100,0.151519,10.350895,0.070867,11.362442,0.081845,10.201242,-0.067243,10.376542,-0.179093,11.432551,-0.348971,12.899714,-0.281288,-24.275971
0.501000,0.000000,8.090368,0.126746,7.725166,0.162848,7.065906,0.174124,8.401790,0.185968,8.237997,0.297461,6.563453,0.262712,7.251894,0.425325,8.056876,0.407172,7.706493,0.507180,7.908294,0.496408,6.575256,0.554685,6.466478,0.439177,6.772089,0.514082,6.380739,0.630344,8.042197,0.511737,8.673498,0.652224,7.351902,0.689563,7.210835,0.777191,7.502932,0.750119,7.345078,0.785116,7.273917,0.809870,6.883866,0.853870,7.037557,0.744562,7.335016,0.834402,8.710246,0.879125,7.460025,1.108381,7.081361,0.917425,7.229704,0.930248,8.206236,1.128039,7.548059,1.081714,7.999671,1.243726,7.908955,1.171634,-20.919338
0.601000,0.000000,8.536535,0.481573,7.682088,0.485912,7.847183,0.658739,8.083460,0.422651,8.090083,0.836173,8.989719,0.476534,7.635438,0.715985,8.494217,0.811557,10.795982,0.724503,7.278880,0.510301,9.035640,0.647059,7.313918,0.506262,7.985384,0.735800,8.947835,0.853140,8.515622,1.123189,7.740597,0.965884,7.794426,0.828917,7.845133,1.065348,8.634695,0.965535,8.105776,0.880338,8.165390,1.192573,8.270454,1.073359,8.162309,1.369254,9.482293,1.280494,6.479457,1.300027,8.916424,1.341382,7.892463,1.352795,10.324074,1.307275,7.842369,1.294450,8.077132,1.556940,9.268297,1.238141,8.190171,1.437175,-21.872088
0.701000,0.000000,12.731228,0.520150,12.205458,0.543391,11.282142,0.646398,11.399652,0.739901,10.278874,0.650371,10.610029,0.621536,11.332804,0.760109,10.360024,0.769893,11.775019,0.891472,11.224589,0.567430,12.075271,0.895307,9.464112,0.739591,10.938708,0.849175,12.567891,0.978051,12.379818,0.856674,11.144667,1.058143,9.418448,1.123989,9.582559,1.053262,11.166355,1.101948,10.972589,1.136417,11.506185,1.351007,10.819895,0.983435,10.092175,1.428129,11.448794,1.272569,10.077605,1.378049,9.994293,1.497576,12.625760,1.314327,10.730619,1.446506,12.518979,1.469346,9.844799,1.536700,13.113335,1.546741,12.356626,1.732514,-24.498849
0.801000,0.000000,7.118574,2.005551,7.548216,1.755724,7.983426,1.826088,8.099191,1.593425,7.751031,1.613771,6.716265,1.556069,6.804548,1.336686,6.765070,1.361386,6.772166,1.282119,5.941720,1.236697,6.778651,1.097054,6.522634,1.001700,5.975117,0.963869,6.802440,0.845010,6.042854,0.717098,6.732472,0.634625,6.148905,0.454074,6.866179,0.465046,6.836590,0.420703,6.559716,0.202332,6.897375,0.142996,6.998763,-0.024723,7.058116,0.051200,6.891012,-0.176640,8.791828,-0.384395,7.421526,-0.336491,8.483907,-0.302802,7.576164,-0.429298,7.355471,-0.446484,8.865908,-0.653468,7.267526,-0.692749,6.148061,-0.763001,-20.523557
0.901000,0.000000,11.971265,0.824018,10.170366,0.896882,9.413585,0.860374,12.689645,0.735224,12.327261,0.896970,11.671201,0.950314,9.885295,1.114428,9.733830,0.919507,9.606951,0.987467,11.122616,0.929138,10.501313,1.152939,10.607925,1.087071,10.150907,1.134586,11.239881,1.165850,10.624906,1.100396,9.442056,1.421789,10.108243,1.293703,10.929776,1.475796,10.011930,1.345117,11.173082,1.401334,10.209387,1.440350,10.954841,1.406504,10.086502,1.393595,11.575630,1.534998,9.747417,1.612642,9.975210,1.511568,12.711441,1.634008,12.140795,1.593908,13.166743,1.807298,10.007411,1.784693,11.276757,1.616818,13.249659,1.827007,-24.289529
