Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,9.860147,0.671645,8.577799,0.907157,11.400411,0.752206,8.510885,0.996527,10.401868,0.873774,10.118192,0.989170,8.523830,0.957539,7.718905,0.999185,9.175893,1.155617,8.591203,1.118326,10.087229,1.163022,8.121227,1.166687,9.574501,1.290482,8.532122,1.186725,9.949640,1.338141,9.348558,1.397220,9.118515,1.430803,8.973232,1.458927,9.620824,1.416004,9.455515,1.314409,8.916992,1.509602,8.795656,1.431102,7.703044,1.526713,8.661676,1.490415,9.756743,1.533899,9.223998,1.646882,9.442004,1.546828,9.765917,1.534701,9.516849,1.686777,9.609256,1.707110,10.562281,1.902345,9.607211,1.914369,-22.936392
0.100000,0.000000,10.427547,0.232772,9.863482,0.157403,9.515578,0.335255,11.583565,0.175000,9.629082,0.332056,10.280155,0.446792,9.755168,0.426469,9.864919,0.445790,10.076601,0.485924,9.984152,0.380510,11.560200,0.602779,8.467404,0.494514,10.726255,0.533578,8.674975,0.565885,8.560001,0.527905,9.706918,0.815348,9.474879,0.838057,9.487322,0.887273,9.982234,0.808969,10.984378,0.847379,10.998289,1.013242,10.921900,0.828415,11.382448,0.985799,9.801435,0.978310,10.410541,1.005884,10.879727,0.939694,9.857825,1.078994,12.110649,0.997378,11.965916,1.130835,9.879204,1.084977,9.870302,1.148504,10.788035,1.208668,-23.833512
0.201000,0.000000,8.877012,0.507263,8.870326,0.540115,7.354582,0.517592,9.274152,0.688859,7.617648,0.607505,8.131443,0.684566,8.351339,0.643869,6.832814,0.689357,7.063666,0.828589,8.222001,0.873964,8.483433,0.818440,9.253437,0.759004,8.688225,0.969647,8.799360,0.928331,8.081790,0.743835,9.229234,1.105651,8.839935,1.070690,8.035190,0.990766,7.294633,1.162278,9.332605,0.996266,8.372945,1.241027,8.313422,1.258135,8.332794,1.302371,8.930961,1.425966,7.129904,1.371776,8.272659,1.294543,9.827536,1.359391,9.904193,1.579003,7.130704,1.440065,7.434236,1.565425,7.841403,1.462308,7.937873,1.816558,-21.803619
0.301000,0.000000,9.718367,0.863807,11.498625,0.801570,10.423748,0.946362,8.917561,0.801271,9.344568,0.965844,9.023960,0.829578,9.931755,0.890080,10.887163,1.006027,10.563115,1.098875,10.187043,1.125624,9.854719,1.181122,9.037479,1.185518,8.715613,1.104141,9.636777,1.234453,8.635145,1.286373,8.551938,1.309242,9.015556,1.171883,10.738963,1.456658,8.919008,1.316865,9.299657,1.321697,9.144392,1.335851,10.521718,1.589103,10.050848,1.437761,10.139324,1.609324,10.192017,1.719468,9.983016,1.548315,8.662323,1.854856,11.795504,1.821896,9.471437,1.728442,10.118458,1.732437,10.403050,1.876272,11.725559,1.936409,-23.398717
0.401000,0.000000,10.420750,-2.376717,10.892462,-2.495719,11.922288,-2.904964,10.087288,-3.129355,10.915433,2.927755,10.174902,2.838510,10.101858,2.696536,10.637354,2.469682,10.982527,2.132092,12.225842,1.929355,11.258238,1.787216,9.855543,1.568797,11.218938,1.459026,11.648771,1.121298,10.760868,0.935443,12.148929,0.689898,11.971102,0.439978,10.240534,0.116598,12.971685,-0.014077,11.689765,-0.254112,9.919306,-0.451829,9.157729,-0.747091,10.643873,-0.830503,11.080316,-1.084458,10.435642,-1.277475,10.480903,-1.434142,10.934049,-1.805817,11.128503,-2.006461,13.279877,-2.189847,11.107848,-2.497654,10.318699,-2.380093,12.240184,-2.869637,-24.375740
0.501000,0.000000,10.121796,0.220278,8.869498,0.290974,8.298787,0.404972,9.247440,0.350458,9.081855,0.367087,10.002352,0.381074,8.041586,0.771510,7.781543,0.564577,9.088521,0.407311,9.251009,0.729634,8.771542,0.680461,8.932004,0.357754,8.861727,0.542737,10.928933,0.734342,9.563602,0.773789,9.390387,0.803858,9.156010,0.645365,8.984631,0.802454,8.268676,0.907506,10.316481,1.002221,7.316112,1.006543,9.741152,1.018921,8.732880,0.924249,8.310299,1.134081,8.365838,1.120016,9.562065,1.063623,8.133941,1.266560,8.255130,1.174781,11.824456,1.202060,8.480261,1.284742,8.545861,1.393420,10.451720,1.426292,-22.333707
0.601000,0.000000,9.349604,0.701888,10.269236,0.816842,7.793445,0.689698,8.369681,0.635573,8.078504,0.841322,9.992877,0.595467,8.152741,0.806465,6.798762,0.803379,7.328652,0.854400,7.304815,0.973874,6.939996,0.928373,8.895544,1.142911,7.649703,0.996501,9.198252,1.151069,7.026702,1.118006,7.331391,1.019828,7.136047,1.157663,7.382126,1.247820,6.753872,1.268679,8.833098,1.234104,6.697919,1.138173,9.278848,1.253555,8.893110,1.351586,8.923733,1.315521,8.114480,1.320427,7.144872,1.480502,7.839621,1.468058,7.733755,1.493459,7.934405,1.532330,9.027472,1.439007,8.271099,1.876338,8.657351,1.790277,-21.603245
0.702000,0.000000,9.951821,0.646562,9.318592,0.867710,9.515303,0.867028,7.329236,0.946246,8.510931,0.860126,8.753906,0.903223,9.071317,0.913005,7.307590,0.903416,9.035982,1.086606,9.919909,1.130269,8.117145,1.067136,8.099631,1.045883,8.696241,1.068098,7.554233,1.205257,9.933436,1.170749,9.033708,1.229510,7.934953,1.146195,6.970773,1.321364,11.411073,1.320831,8.764492,1.303971,8.324180,1.487422,8.427639,1.445212,8.627122,1.510979,8.444007,1.404025,7.809260,1.539239,7.999910,1.723529,7.046393,1.697130,9.879878,1.508497,8.195916,1.712237,7.939535,1.664014,9.177513,1.828478,10.752683,1.787230,-22.100228
0.802000,0.000000,9.947598,0.950874,9.946256,0.648338,8.734773,0.813044,10.432527,0.830714,8.976793,0.731760,10.276337,0.913342,8.219821,1.128672,8.259419,1.060818,10.104956,0.927211,9.602209,0.959225,12.234724,1.227063,8.784602,0.949101,9.092057,1.193717,9.846073,1.131882,8.607636,1.278121,9.185170,1.098787,9.482560,1.170650,9.270421,1.200194,9.294177,1.308836,10.525417,1.325455,8.363291,1.442875,10.117375,1.253406,8.429398,1.636669,9.158245,1.498413,9.174593,1.548419,9.369230,1.711788,8.842123,1.532512,10.850670,1.612339,8.797826,1.806719,9.510087,1.845110,9.526513,1.714298,10.424822,1.716975,-22.845211
0.902000,0.000000,11.227257,0.755370,12.258931,0.618187,10.322295,0.805708,10.667584,0.744694,9.201398,0.826279,10.408782,0.685196,9.826367,0.779501,8.974590,0.749398,9.444622,0.851672,10.123980,0.965972,8.111765,1.118095,8.590118,1.173143,9.662298,1.043977,10.389403,1.350975,8.984211,1.034155,10.782677,1.135539,8.313349,1.098027,9.403113,1.482738,8.846262,1.383440,9.716394,1.237840,10.037524,1.351660,10.941202,1.191653,9.675930,1.223773,10.867368,1.448600,10.543431,1.578840,10.464386,1.491148,9.716661,1.423438,9.368370,1.709603,10.709903,1.339231,9.787215,1.698480,10.721715,1.647066,10.814788,1.805614,-23.510562
